id;name;address;places_number;ruc;latitude;longitude;acronym;sequencename
1;XSS;payment;16990;Savings Avon;31161;59189;Puerta Mercados;Planificador Taiwan
2;Plaza users;Práctico;30407;PCI;58271;78645;Planificador;Reducido cohesiva
3;Intuitivo Pollo;Oficial mission-critical holística;47858;Sorprendente Música;5221;44785;datos hard SCSI;Directo fases
4;Ordenador Torrente Egipto;Pequeño Usabilidad;98717;Mercados intangible withdrawal;1184;82793;León;Savings Granito Acero
5;platforms;reboot;8044;optimizada deposit;96115;78041;Investigación Organizado withdrawal;pixel
6;Pollo soporte Métricas;asíncrona synergistic syndicate;21740;Zambia synergize Bedfordshire;2937;85407;circuit intuitive;card colaboración
7;Director;Guapa;96840;panel;97180;67886;multi-byte Nacional;communities
8;Re-contextualizado SMTP;capacitor;40416;Avon;96494;70588;European Cuentas Marroquinería;modular
9;SMS Suriname Inverso;invoice Especialista Kwanza;89600;Gorro Silver;60813;74414;Asimilado portals;Marketing
10;aggregate colaboración Arquitecto;solid;25775;hacking Acero out-of-the-box;21444;67652;Edificio Senior;Genérico
