id;authorization_number;sequential;status;sriaccesskey;sriauthorizationdate;receiptdate
1;Borders;Salchichas;payment bleeding-edge;e-tailers bypassing y;2021-10-19;2021-10-18
2;Sorprendente e-enable Guapo;Interno Mascotas monitor;card digital;Real bandwidth;2021-10-18;2021-10-19
3;RSS;mano red;backing;Corporativo deposit Reducido;2021-10-19;2021-10-19
4;Bricolaje;Opcional;deposit proyección quantifying;nivel;2021-10-19;2021-10-19
5;Metal Borders withdrawal;transmitting hibrida Avon;Bulgaria Pantalones;Pequeño copying Etiopía;2021-10-19;2021-10-19
6;Seguridada Coche;monetize;Ensalada strategic;Borders a state;2021-10-19;2021-10-19
7;digital parse;Bicicleta Borders microchip;bypass Berkshire;Mercado Salchichas Bicicleta;2021-10-19;2021-10-19
8;Negro;Informática horas Sabroso;quantify utilize;Multi grow Mascotas;2021-10-18;2021-10-19
9;Sopa Ordenador Paradigma;Genérico;quantify ADP Refinado;program Uzbekistan;2021-10-19;2021-10-19
10;FTP Chalet;Investment;Account;Directo amplio Papelería;2021-10-19;2021-10-19
